month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2025/02/01 05:00:00+00,Sunday,4,Green Line,190096,47524,89
2025/02/01 05:00:00+00,Sunday,4,Mattapan Line,3703,926,90
2025/02/01 05:00:00+00,Sunday,4,Light Rail,193799,48450,91
2025/02/01 05:00:00+00,Sunday,4,Silver Line,64224,16056,92
2025/02/01 05:00:00+00,Sunday,4,Bus,407191,101798,93
2025/02/01 05:00:00+00,Sunday,4,All Bus,471415,117854,94
2025/02/01 05:00:00+00,Sunday,4,Commuter Rail,101325,25331,95
2025/02/01 05:00:00+00,Sunday,4,Ferry,442,110,96
2025/02/01 05:00:00+00,Sunday,4,The RIDE,5044,1261,97
2025/02/01 05:00:00+00,Total,28,Blue Line,1101535,39341,98
2025/02/01 05:00:00+00,Total,28,Orange Line,2828412,101015,99
2025/02/01 05:00:00+00,Total,28,Red Line,3226352,115227,100
2025/01/01 05:00:00+00,Total,31,Orange Line,2911130,93907,101
2025/01/01 05:00:00+00,Total,31,Red Line,3304267,106589,102
2025/01/01 05:00:00+00,Total,31,Heavy Rail,7395480,238564,103
2025/01/01 05:00:00+00,Total,31,Green Line,2669396,86110,104
2025/01/01 05:00:00+00,Total,31,Mattapan Line,69068,2228,105
2025/01/01 05:00:00+00,Total,31,Light Rail,2738464,88338,106
2025/01/01 05:00:00+00,Total,31,Silver Line,789928,25482,107
2025/01/01 05:00:00+00,Total,31,Bus,6831421,220368,108
2025/01/01 05:00:00+00,Total,31,All Bus,7621349,245850,109
2025/01/01 05:00:00+00,Total,31,Commuter Rail,2348137,75746,110
2025/01/01 05:00:00+00,Total,31,Ferry,72581,2341,111
2025/01/01 05:00:00+00,Total,31,The RIDE,98879,3190,112
2024/12/01 05:00:00+00,Weekday,21,Blue Line,905115,43101,113
2024/12/01 05:00:00+00,Weekday,21,Orange Line,2208993,105190,114
2024/12/01 05:00:00+00,Weekday,21,Red Line,2367621,112744,115
2024/12/01 05:00:00+00,Weekday,21,Heavy Rail,5481728,261035,116
2024/12/01 05:00:00+00,Weekday,21,Green Line,1670698,79557,117
2024/12/01 05:00:00+00,Weekday,21,Mattapan Line,50714,2415,118
2024/12/01 05:00:00+00,Weekday,21,Light Rail,1721413,81972,119
2024/12/01 05:00:00+00,Weekday,21,Silver Line,631039,30049,120
2024/12/01 05:00:00+00,Weekday,21,Bus,5253721,250177,121
2024/12/01 05:00:00+00,Weekday,21,All Bus,5884760,280227,122
2024/12/01 05:00:00+00,Weekday,21,Commuter Rail,1950999,92905,123
2024/12/01 05:00:00+00,Weekday,21,Ferry,67867,3232,124
2024/12/01 05:00:00+00,Weekday,22,The RIDE,81070,3685,125
2024/12/01 05:00:00+00,Saturday,4,Blue Line,127298,31824,126
2024/12/01 05:00:00+00,Saturday,4,Orange Line,292675,73169,127
2024/12/01 05:00:00+00,Saturday,4,Red Line,302416,75604,128
2024/12/01 05:00:00+00,Saturday,4,Heavy Rail,722389,180597,129
2024/12/01 05:00:00+00,Saturday,4,Green Line,271463,67866,130
2024/12/01 05:00:00+00,Saturday,4,Mattapan Line,4091,1023,131
2024/12/01 05:00:00+00,Saturday,4,Light Rail,275553,68888,132
2024/12/01 05:00:00+00,Saturday,4,Silver Line,84608,21152,133
2024/12/01 05:00:00+00,Saturday,4,Bus,577773,144443,134
2024/12/01 05:00:00+00,Saturday,4,All Bus,662380,165595,135
2024/12/01 05:00:00+00,Saturday,4,Commuter Rail,124283,31071,136
2024/12/01 05:00:00+00,Saturday,4,Ferry,917,229,137
2024/12/01 05:00:00+00,Saturday,4,The RIDE,8036,2009,138
2024/12/01 05:00:00+00,Sunday,6,Blue Line,138830,23138,139
2024/12/01 05:00:00+00,Sunday,6,Orange Line,288516,48086,140
2024/12/01 05:00:00+00,Sunday,6,Red Line,319629,53272,141
2024/12/01 05:00:00+00,Sunday,6,Heavy Rail,746974,124496,142
2024/12/01 05:00:00+00,Sunday,6,Green Line,280485,46748,143
2024/12/01 05:00:00+00,Sunday,6,Mattapan Line,4922,820,144
2024/12/01 05:00:00+00,Sunday,6,Light Rail,285408,47568,145
2024/12/01 05:00:00+00,Sunday,6,Silver Line,121343,20224,146
2024/12/01 05:00:00+00,Sunday,6,Bus,558874,93146,147
2024/12/01 05:00:00+00,Sunday,6,All Bus,680216,113369,148
2024/12/01 05:00:00+00,Sunday,5,Commuter Rail,139548,27910,149
2024/12/01 05:00:00+00,Sunday,5,Ferry,970,194,150
2025/06/01 04:00:00+00,Total,30,Ferry,201521,6717,151
2025/06/01 04:00:00+00,Total,30,The RIDE,103354,3445,152
2025/05/01 04:00:00+00,Weekday,21,Blue Line,1005800,47895,153
2025/05/01 04:00:00+00,Weekday,21,Orange Line,2375862,113136,154
2025/05/01 04:00:00+00,Weekday,21,Red Line,3076300,146490,155
2025/05/01 04:00:00+00,Weekday,21,Heavy Rail,6457962,307522,156
2025/05/01 04:00:00+00,Weekday,21,Green Line,2137983,101809,157
2025/05/01 04:00:00+00,Weekday,21,Mattapan Line,57093,2719,158
2025/05/01 04:00:00+00,Weekday,21,Light Rail,2195076,104527,159
2025/05/01 04:00:00+00,Weekday,21,Silver Line,672420,32020,160
2025/05/01 04:00:00+00,Weekday,21,Bus,5831329,277682,161
2025/05/01 04:00:00+00,Weekday,21,All Bus,6503749,309702,162
2025/05/01 04:00:00+00,Weekday,21,Commuter Rail,2182010,103905,163
2025/05/01 04:00:00+00,Weekday,21,Ferry,101108,4815,164
2025/05/01 04:00:00+00,Weekday,22,The RIDE,89496,4068,165
2025/05/01 04:00:00+00,Saturday,5,Blue Line,178577,35715,166
2025/05/01 04:00:00+00,Saturday,5,Orange Line,332060,66412,167
2025/05/01 04:00:00+00,Saturday,5,Red Line,484316,96863,168
2025/05/01 04:00:00+00,Saturday,5,Heavy Rail,994953,198991,169
2025/05/01 04:00:00+00,Saturday,5,Green Line,454770,90954,170
2025/05/01 04:00:00+00,Saturday,5,Mattapan Line,7799,1560,171
2025/05/01 04:00:00+00,Saturday,5,Light Rail,462569,92514,172
2025/05/01 04:00:00+00,Saturday,5,Silver Line,105933,21187,173
2025/05/01 04:00:00+00,Saturday,5,Bus,794167,158833,174
2025/05/01 04:00:00+00,Saturday,5,All Bus,900100,180020,175
2025/05/01 04:00:00+00,Saturday,5,Commuter Rail,171379,34276,176
2025/05/01 04:00:00+00,Saturday,5,Ferry,10502,2100,177
2025/05/01 04:00:00+00,Saturday,5,The RIDE,10415,2083,178
2025/05/01 04:00:00+00,Sunday,5,Blue Line,150713,30143,179
2025/05/01 04:00:00+00,Sunday,5,Orange Line,296755,59351,180
2025/05/01 04:00:00+00,Sunday,5,Red Line,403820,80764,181
2025/05/01 04:00:00+00,Sunday,5,Heavy Rail,851288,170258,182
2025/05/01 04:00:00+00,Sunday,5,Green Line,366242,73248,183
2025/05/01 04:00:00+00,Sunday,5,Mattapan Line,6141,1228,184
2025/05/01 04:00:00+00,Sunday,5,Light Rail,372384,74477,185
2025/05/01 04:00:00+00,Sunday,5,Silver Line,96925,19385,186
2025/05/01 04:00:00+00,Sunday,5,Bus,588487,117697,187
2025/05/01 04:00:00+00,Sunday,5,All Bus,685412,137082,188
2025/05/01 04:00:00+00,Sunday,4,Commuter Rail,136019,34005,189
2025/05/01 04:00:00+00,Sunday,4,Ferry,8133,2033,190
2025/05/01 04:00:00+00,Sunday,4,The RIDE,8092,2023,191
2025/05/01 04:00:00+00,Total,31,Blue Line,1335090,43067,192
2025/05/01 04:00:00+00,Total,31,Orange Line,3004676,96925,193
2025/05/01 04:00:00+00,Total,31,Red Line,3964436,127885,194
2025/05/01 04:00:00+00,Total,31,Heavy Rail,8304203,267878,195
2025/05/01 04:00:00+00,Total,31,Green Line,2958995,95451,196
2025/05/01 04:00:00+00,Total,31,Mattapan Line,71033,2291,197
2025/05/01 04:00:00+00,Total,31,Light Rail,3030029,97743,198
2025/05/01 04:00:00+00,Total,31,Silver Line,875279,28235,199
2025/05/01 04:00:00+00,Total,31,Bus,7213983,232709,200
2025/04/01 04:00:00+00,Total,30,Silver Line,822270,27409,201
2025/04/01 04:00:00+00,Total,30,Bus,7152109,238404,202
2025/04/01 04:00:00+00,Total,30,All Bus,7974379,265813,203
2025/04/01 04:00:00+00,Total,30,Commuter Rail,2522858,84095,204
2025/04/01 04:00:00+00,Total,30,Ferry,109343,3645,205
2025/04/01 04:00:00+00,Total,30,The RIDE,107340,3578,206
2025/03/01 05:00:00+00,Weekday,21,Blue Line,947530,45120,207
2025/03/01 05:00:00+00,Weekday,21,Orange Line,2604748,124036,208
2025/03/01 05:00:00+00,Weekday,21,Red Line,2706603,128886,209
2025/03/01 05:00:00+00,Weekday,21,Heavy Rail,6258880,298042,210
2025/03/01 05:00:00+00,Weekday,21,Green Line,2118544,100883,211
2025/03/01 05:00:00+00,Weekday,21,Mattapan Line,17204,819,212
2025/03/01 05:00:00+00,Weekday,21,Light Rail,2135748,101702,213
2025/03/01 05:00:00+00,Weekday,21,Silver Line,614913,29282,214
2025/03/01 05:00:00+00,Weekday,21,Bus,5753241,273964,215
2025/03/01 05:00:00+00,Weekday,21,All Bus,6368154,303245,216
2025/03/01 05:00:00+00,Weekday,21,Commuter Rail,2105823,100277,217
2025/03/01 05:00:00+00,Weekday,21,Ferry,79464,3784,218
2025/03/01 05:00:00+00,Weekday,21,The RIDE,87276,4156,219
2025/03/01 05:00:00+00,Saturday,5,Blue Line,162455,32491,220
2025/03/01 05:00:00+00,Saturday,5,Orange Line,353232,70646,221
2025/03/01 05:00:00+00,Saturday,5,Red Line,413142,82628,222
2025/03/01 05:00:00+00,Saturday,5,Heavy Rail,928829,185766,223
2025/03/01 05:00:00+00,Saturday,5,Green Line,438752,87750,224
2025/03/01 05:00:00+00,Saturday,5,Mattapan Line,2574,515,225
2025/03/01 05:00:00+00,Saturday,5,Light Rail,441325,88265,226
2025/03/01 05:00:00+00,Saturday,5,Silver Line,99871,19974,227
2025/03/01 05:00:00+00,Saturday,5,Bus,774827,154965,228
2025/03/01 05:00:00+00,Saturday,5,All Bus,874698,174940,229
2025/03/01 05:00:00+00,Saturday,5,Commuter Rail,165056,33011,230
2025/03/01 05:00:00+00,Saturday,5,Ferry,2115,423,231
2025/03/01 05:00:00+00,Saturday,5,The RIDE,10650,2130,232
2025/03/01 05:00:00+00,Sunday,5,Blue Line,122767,24553,233
2025/03/01 05:00:00+00,Sunday,5,Orange Line,263055,52611,234
2025/03/01 05:00:00+00,Sunday,5,Red Line,332977,66595,235
2025/03/01 05:00:00+00,Sunday,5,Heavy Rail,718798,143760,236
2025/03/01 05:00:00+00,Sunday,5,Green Line,319207,63841,237
2025/03/01 05:00:00+00,Sunday,5,Mattapan Line,1806,361,238
2025/03/01 05:00:00+00,Sunday,5,Light Rail,321013,64203,239
2025/03/01 05:00:00+00,Sunday,5,Silver Line,86249,17250,240
2025/03/01 05:00:00+00,Sunday,5,Bus,519969,103994,241
2025/03/01 05:00:00+00,Sunday,5,All Bus,606219,121244,242
2025/03/01 05:00:00+00,Sunday,5,Commuter Rail,159394,31879,243
2025/03/01 05:00:00+00,Sunday,5,Ferry,1546,309,244
2025/03/01 05:00:00+00,Sunday,5,The RIDE,9245,1849,245
2025/03/01 05:00:00+00,Total,31,Blue Line,1232751,39766,246
2025/03/01 05:00:00+00,Total,31,Orange Line,3221035,103904,247
2025/03/01 05:00:00+00,Total,31,Red Line,3452721,111378,248
2025/03/01 05:00:00+00,Total,31,Heavy Rail,7906508,255049,249
2025/03/01 05:00:00+00,Total,31,Green Line,2876503,92790,250
2025/02/01 05:00:00+00,Total,28,Heavy Rail,7156299,255582,251
2025/02/01 05:00:00+00,Total,28,Green Line,2492731,89026,252
2025/02/01 05:00:00+00,Total,28,Mattapan Line,62160,2220,253
2025/02/01 05:00:00+00,Total,28,Light Rail,2554890,91246,254
2025/02/01 05:00:00+00,Total,28,Silver Line,735296,26261,255
2025/02/01 05:00:00+00,Total,28,Bus,6465702,230918,256
2025/02/01 05:00:00+00,Total,28,All Bus,7200997,257178,257
2025/02/01 05:00:00+00,Total,28,Commuter Rail,2119364,75692,258
2025/02/01 05:00:00+00,Total,28,Ferry,64372,2299,259
2025/02/01 05:00:00+00,Total,28,The RIDE,90025,3215,260
2025/01/01 05:00:00+00,Weekday,21,Blue Line,917326,43682,261
2025/01/01 05:00:00+00,Weekday,21,Orange Line,2367239,112726,262
2025/01/01 05:00:00+00,Weekday,21,Red Line,2661142,126721,263
2025/01/01 05:00:00+00,Weekday,21,Heavy Rail,5945708,283129,264
2025/01/01 05:00:00+00,Weekday,21,Green Line,2025735,96464,265
2025/01/01 05:00:00+00,Weekday,21,Mattapan Line,57183,2723,266
2025/01/01 05:00:00+00,Weekday,21,Light Rail,2082918,99187,267
2025/01/01 05:00:00+00,Weekday,21,Silver Line,619145,29483,268
2025/01/01 05:00:00+00,Weekday,21,Bus,5616363,267446,269
2025/01/01 05:00:00+00,Weekday,21,All Bus,6235508,296929,270
2025/01/01 05:00:00+00,Weekday,21,Commuter Rail,2042561,97265,271
2025/01/01 05:00:00+00,Weekday,21,Ferry,70607,3362,272
2025/01/01 05:00:00+00,Weekday,23,The RIDE,84410,3670,273
2025/01/01 05:00:00+00,Saturday,5,Blue Line,146827,29365,274
2025/01/01 05:00:00+00,Saturday,5,Orange Line,308928,61786,275
2025/01/01 05:00:00+00,Saturday,5,Red Line,361472,72294,276
2025/01/01 05:00:00+00,Saturday,5,Heavy Rail,817226,163445,277
2025/01/01 05:00:00+00,Saturday,5,Green Line,368762,73752,278
2025/01/01 05:00:00+00,Saturday,5,Mattapan Line,7016,1403,279
2025/01/01 05:00:00+00,Saturday,5,Light Rail,375777,75155,280
2025/01/01 05:00:00+00,Saturday,5,Silver Line,91941,18388,281
2025/01/01 05:00:00+00,Saturday,5,Bus,713980,142796,282
2025/01/01 05:00:00+00,Saturday,5,All Bus,805921,161184,283
2025/01/01 05:00:00+00,Saturday,4,Commuter Rail,119533,29883,284
2025/01/01 05:00:00+00,Saturday,4,Ferry,828,207,285
2025/01/01 05:00:00+00,Saturday,4,The RIDE,7560,1890,286
2025/01/01 05:00:00+00,Sunday,5,Blue Line,115930,23186,287
2025/01/01 05:00:00+00,Sunday,5,Orange Line,234963,46993,288
2025/01/01 05:00:00+00,Sunday,5,Red Line,281653,56331,289
2025/01/01 05:00:00+00,Sunday,5,Heavy Rail,632546,126509,290
2025/01/01 05:00:00+00,Sunday,5,Green Line,274899,54980,291
2025/01/01 05:00:00+00,Sunday,5,Mattapan Line,4870,974,292
2025/01/01 05:00:00+00,Sunday,5,Light Rail,279769,55954,293
2025/01/01 05:00:00+00,Sunday,5,Silver Line,78843,15769,294
2025/01/01 05:00:00+00,Sunday,5,Bus,501077,100215,295
2025/01/01 05:00:00+00,Sunday,5,All Bus,579920,115984,296
