month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2024/02/01 05:00:00+00,Saturday,4,Heavy Rail,615970,153992,945
2024/02/01 05:00:00+00,Saturday,4,Green Line,247141,61785,946
2024/02/01 05:00:00+00,Saturday,4,Mattapan Line,6077,1519,947
2024/02/01 05:00:00+00,Saturday,4,Light Rail,246053,61513,948
2024/02/01 05:00:00+00,Saturday,4,Silver Line,72248,18062,949
2024/02/01 05:00:00+00,Saturday,4,Bus,614366,153592,950
2023/12/01 05:00:00+00,Saturday,5,Silver Line,101940,20388,951
2023/12/01 05:00:00+00,Saturday,5,Bus,740851,148170,952
2023/12/01 05:00:00+00,Saturday,5,All Bus,842791,168558,953
2023/12/01 05:00:00+00,Saturday,5,Commuter Rail,203004,40601,954
2023/12/01 05:00:00+00,Saturday,5,The RIDE,9565,1913,955
2023/12/01 05:00:00+00,Sunday,5,Blue Line,120449,24090,956
2023/12/01 05:00:00+00,Sunday,5,Orange Line,232821,46564,957
2023/12/01 05:00:00+00,Sunday,5,Red Line,245420,49084,958
2023/12/01 05:00:00+00,Sunday,5,Heavy Rail,590875,118175,959
2023/12/01 05:00:00+00,Sunday,5,Green Line,197906,39581,960
2023/12/01 05:00:00+00,Sunday,5,Mattapan Line,4773,955,961
2023/12/01 05:00:00+00,Sunday,5,Light Rail,182650,36530,962
2023/12/01 05:00:00+00,Sunday,5,Silver Line,81866,16373,963
2023/12/01 05:00:00+00,Sunday,5,Bus,465170,93034,964
2023/12/01 05:00:00+00,Sunday,5,All Bus,547036,109407,965
2023/12/01 05:00:00+00,Sunday,5,Commuter Rail,172606,34521,966
2023/12/01 05:00:00+00,Sunday,5,The RIDE,8315,1663,967
2023/12/01 05:00:00+00,Total,31,Blue Line,1183285,38170,968
2023/12/01 05:00:00+00,Total,31,Orange Line,2583603,83342,969
2023/12/01 05:00:00+00,Total,31,Red Line,2781114,89713,970
2023/12/01 05:00:00+00,Total,31,Heavy Rail,6548003,211226,971
2023/12/01 05:00:00+00,Total,31,Green Line,1923248,62040,972
2023/12/01 05:00:00+00,Total,31,Mattapan Line,67289,2171,973
2023/12/01 05:00:00+00,Total,31,Light Rail,1990537,64211,974
2023/12/01 05:00:00+00,Total,31,Silver Line,769111,24810,975
2023/12/01 05:00:00+00,Total,31,Bus,6201686,200054,976
2023/12/01 05:00:00+00,Total,31,All Bus,6970797,224864,977
2023/12/01 05:00:00+00,Total,31,Commuter Rail,2264824,73059,978
2023/12/01 05:00:00+00,Total,31,Ferry,59871,1931,979
2023/12/01 05:00:00+00,Total,31,The RIDE,89966,2902,980
2023/11/01 04:00:00+00,Weekday,21,Blue Line,1006989,47952,981
2023/11/01 04:00:00+00,Weekday,21,Orange Line,2274354,108303,982
2023/11/01 04:00:00+00,Weekday,21,Red Line,2479743,118083,983
2023/11/01 04:00:00+00,Weekday,21,Heavy Rail,5761085,274337,984
2023/11/01 04:00:00+00,Weekday,21,Green Line,1732501,82500,985
2023/11/01 04:00:00+00,Weekday,21,Mattapan Line,59431,2830,986
2023/11/01 04:00:00+00,Weekday,21,Light Rail,1791931,85330,987
2023/11/01 04:00:00+00,Weekday,21,Silver Line,638204,30391,988
2023/11/01 04:00:00+00,Weekday,21,Bus,5628924,268044,989
2023/11/01 04:00:00+00,Weekday,21,All Bus,6267128,298435,990
2023/11/01 04:00:00+00,Weekday,21,Commuter Rail,2084911,99281,991
2023/11/01 04:00:00+00,Weekday,21,Ferry,82819,3944,992
2023/11/01 04:00:00+00,Weekday,21,The RIDE,80432,3830,993
2023/11/01 04:00:00+00,Saturday,4,Blue Line,143899,35975,994
2023/11/01 04:00:00+00,Saturday,4,Orange Line,261474,65368,995
2023/11/01 04:00:00+00,Saturday,4,Red Line,260472,65118,996
2023/11/01 04:00:00+00,Saturday,4,Heavy Rail,665845,166461,997
2023/11/01 04:00:00+00,Saturday,4,Green Line,293060,73265,998
2023/11/01 04:00:00+00,Saturday,4,Mattapan Line,5828,1457,999
2023/11/01 04:00:00+00,Saturday,4,Light Rail,298888,74722,1000
2023/10/01 04:00:00+00,Saturday,4,Bus,789985,197496,1001
2023/10/01 04:00:00+00,Saturday,4,All Bus,899896,224974,1002
2023/10/01 04:00:00+00,Saturday,4,Commuter Rail,152939,38235,1003
2023/10/01 04:00:00+00,Saturday,4,The RIDE,7512,1878,1004
2023/10/01 04:00:00+00,Sunday,5,Blue Line,152793,30559,1005
2023/10/01 04:00:00+00,Sunday,5,Orange Line,282793,56559,1006
2023/10/01 04:00:00+00,Sunday,5,Red Line,289714,57943,1007
2023/10/01 04:00:00+00,Sunday,5,Heavy Rail,725299,145060,1008
2023/10/01 04:00:00+00,Sunday,5,Green Line,304719,60944,1009
2023/10/01 04:00:00+00,Sunday,5,Light Rail,304719,60944,1010
2023/10/01 04:00:00+00,Sunday,5,Silver Line,92182,18436,1011
2023/10/01 04:00:00+00,Sunday,5,Bus,551038,110208,1012
2023/10/01 04:00:00+00,Sunday,5,All Bus,643220,128644,1013
2023/10/01 04:00:00+00,Sunday,5,Commuter Rail,151508,30302,1014
2023/10/01 04:00:00+00,Sunday,5,The RIDE,8345,1669,1015
2023/10/01 04:00:00+00,Total,31,Blue Line,1422580,45890,1016
2023/10/01 04:00:00+00,Total,31,Orange Line,3089886,99674,1017
2023/10/01 04:00:00+00,Total,31,Red Line,3272891,105577,1018
2023/10/01 04:00:00+00,Total,31,Heavy Rail,7785357,251141,1019
2023/10/01 04:00:00+00,Total,31,Green Line,2720940,87772,1020
2023/10/01 04:00:00+00,Total,31,Mattapan Line,35899,1158,1021
2023/10/01 04:00:00+00,Total,31,Light Rail,2756839,88930,1022
2023/10/01 04:00:00+00,Total,31,Silver Line,881434,28433,1023
2023/10/01 04:00:00+00,Total,31,Bus,7382864,238157,1024
2023/10/01 04:00:00+00,Total,31,All Bus,8264299,266590,1025
2023/10/01 04:00:00+00,Total,31,Commuter Rail,2548014,82194,1026
2023/10/01 04:00:00+00,Total,31,Ferry,121462,3918,1027
2023/10/01 04:00:00+00,Total,31,The RIDE,99606,3213,1028
2023/09/01 04:00:00+00,Weekday,20,Blue Line,1012882,50644,1029
2023/09/01 04:00:00+00,Weekday,20,Orange Line,2173928,108696,1030
2023/09/01 04:00:00+00,Weekday,20,Red Line,2614113,130706,1031
2023/09/01 04:00:00+00,Weekday,20,Heavy Rail,5800924,290046,1032
2023/09/01 04:00:00+00,Weekday,20,Green Line,1912538,95627,1033
2023/09/01 04:00:00+00,Weekday,20,Mattapan Line,62925,3146,1034
2023/09/01 04:00:00+00,Weekday,20,Light Rail,1975462,98773,1035
2023/09/01 04:00:00+00,Weekday,20,Silver Line,637690,31884,1036
2023/09/01 04:00:00+00,Weekday,20,Bus,5609479,280474,1037
2023/09/01 04:00:00+00,Weekday,20,All Bus,6247169,312358,1038
2023/09/01 04:00:00+00,Weekday,20,Commuter Rail,1825185,91259,1039
2023/09/01 04:00:00+00,Weekday,20,Ferry,102476,5124,1040
2023/09/01 04:00:00+00,Weekday,20,The RIDE,76629,3831,1041
2023/09/01 04:00:00+00,Saturday,5,Blue Line,182813,36563,1042
2023/09/01 04:00:00+00,Saturday,5,Orange Line,328015,65603,1043
2023/09/01 04:00:00+00,Saturday,5,Red Line,362049,72410,1044
2023/09/01 04:00:00+00,Saturday,5,Heavy Rail,872876,174575,1045
2023/09/01 04:00:00+00,Saturday,5,Green Line,364584,72917,1046
2023/09/01 04:00:00+00,Saturday,5,Mattapan Line,6171,1234,1047
2023/09/01 04:00:00+00,Saturday,5,Light Rail,370755,74151,1048
2023/09/01 04:00:00+00,Saturday,5,Silver Line,101332,20266,1049
2023/09/01 04:00:00+00,Saturday,5,Bus,749304,149861,1050
2023/08/01 04:00:00+00,Saturday,4,All Bus,704356,176089,1051
2023/08/01 04:00:00+00,Saturday,4,Commuter Rail,146484,36621,1052
2023/08/01 04:00:00+00,Saturday,4,The RIDE,7652,1913,1053
2023/08/01 04:00:00+00,Sunday,4,Blue Line,144023,36006,1054
2023/08/01 04:00:00+00,Sunday,4,Orange Line,226229,56557,1055
2023/08/01 04:00:00+00,Sunday,4,Red Line,249334,62334,1056
2023/08/01 04:00:00+00,Sunday,4,Heavy Rail,619586,154896,1057
2023/08/01 04:00:00+00,Sunday,4,Green Line,253945,63486,1058
2023/08/01 04:00:00+00,Sunday,4,Mattapan Line,4800,1200,1059
2023/08/01 04:00:00+00,Sunday,4,Light Rail,258745,64686,1060
2023/08/01 04:00:00+00,Sunday,4,Silver Line,76568,19142,1061
2023/08/01 04:00:00+00,Sunday,4,Bus,440327,110082,1062
2023/08/01 04:00:00+00,Sunday,4,All Bus,516895,129224,1063
2023/08/01 04:00:00+00,Sunday,4,Commuter Rail,116914,29228,1064
2023/08/01 04:00:00+00,Sunday,4,The RIDE,6632,1658,1065
2023/08/01 04:00:00+00,Total,31,Blue Line,1515024,48872,1066
2023/08/01 04:00:00+00,Total,31,Orange Line,2823763,91089,1067
2023/08/01 04:00:00+00,Total,31,Red Line,3287688,106054,1068
2023/08/01 04:00:00+00,Total,31,Heavy Rail,7626475,246015,1069
2023/08/01 04:00:00+00,Total,31,Green Line,2642792,85251,1070
2023/08/01 04:00:00+00,Total,31,Mattapan Line,75242,2427,1071
2023/08/01 04:00:00+00,Total,31,Light Rail,2718034,87679,1072
2023/08/01 04:00:00+00,Total,31,Silver Line,876736,28282,1073
2023/08/01 04:00:00+00,Total,31,Bus,6666127,215036,1074
2023/08/01 04:00:00+00,Total,31,All Bus,7542862,243318,1075
2023/08/01 04:00:00+00,Total,31,Commuter Rail,2396679,77312,1076
2023/08/01 04:00:00+00,Total,31,Ferry,196039,6324,1077
2023/08/01 04:00:00+00,Total,31,The RIDE,97016,3130,1078
2023/07/01 04:00:00+00,Weekday,20,Blue Line,1012119,50606,1079
2023/07/01 04:00:00+00,Weekday,20,Orange Line,1990562,99528,1080
2023/07/01 04:00:00+00,Weekday,20,Red Line,2485675,124284,1081
2023/07/01 04:00:00+00,Weekday,20,Heavy Rail,5488356,274418,1082
2023/07/01 04:00:00+00,Weekday,20,Green Line,1889599,94480,1083
2023/07/01 04:00:00+00,Weekday,20,Mattapan Line,57250,2862,1084
2023/07/01 04:00:00+00,Weekday,20,Light Rail,1946849,97342,1085
2023/07/01 04:00:00+00,Weekday,20,Silver Line,616253,30813,1086
2023/07/01 04:00:00+00,Weekday,20,Bus,4946173,247309,1087
2023/07/01 04:00:00+00,Weekday,20,Private Bus,48126,2406,1088
2023/07/01 04:00:00+00,Weekday,20,All Bus,5610551,280528,1089
2023/07/01 04:00:00+00,Weekday,20,Commuter Rail,1861427,93071,1090
2023/07/01 04:00:00+00,Weekday,20,Ferry,136677,6834,1091
2023/07/01 04:00:00+00,Weekday,20,The RIDE,71967,3598,1092
2023/07/01 04:00:00+00,Saturday,5,Blue Line,207932,41586,1093
2023/07/01 04:00:00+00,Saturday,5,Orange Line,351709,70342,1094
2023/07/01 04:00:00+00,Saturday,5,Red Line,389432,77886,1095
2023/07/01 04:00:00+00,Saturday,5,Heavy Rail,949074,189815,1096
2023/07/01 04:00:00+00,Saturday,5,Green Line,349003,69801,1097
2023/07/01 04:00:00+00,Saturday,5,Mattapan Line,7917,1583,1098
2023/07/01 04:00:00+00,Saturday,5,Light Rail,356919,71384,1099
2023/07/01 04:00:00+00,Saturday,5,Silver Line,103396,20679,1100
2024/02/01 05:00:00+00,Saturday,4,All Bus,686614,171654,1101
2024/02/01 05:00:00+00,Saturday,4,Commuter Rail,151559,37890,1102
2024/02/01 05:00:00+00,Saturday,4,The RIDE,7264,1816,1103
2024/02/01 05:00:00+00,Sunday,4,Blue Line,98698,24674,1104
2024/02/01 05:00:00+00,Sunday,4,Orange Line,177344,44336,1105
2024/02/01 05:00:00+00,Sunday,4,Red Line,186700,46675,1106
2024/02/01 05:00:00+00,Sunday,4,Heavy Rail,461693,115423,1107
2024/02/01 05:00:00+00,Sunday,4,Green Line,183340,45835,1108
2024/02/01 05:00:00+00,Sunday,4,Mattapan Line,4078,1020,1109
2024/02/01 05:00:00+00,Sunday,4,Light Rail,179504,44876,1110
2024/02/01 05:00:00+00,Sunday,4,Silver Line,63711,15928,1111
2024/02/01 05:00:00+00,Sunday,4,Bus,414658,103664,1112
2024/02/01 05:00:00+00,Sunday,4,All Bus,478369,119592,1113
2024/02/01 05:00:00+00,Sunday,4,Commuter Rail,117915,29479,1114
2024/02/01 05:00:00+00,Sunday,4,The RIDE,6292,1573,1115
2024/02/01 05:00:00+00,Total,29,Blue Line,1127169,38868,1116
2024/02/01 05:00:00+00,Total,29,Orange Line,2498734,86163,1117
2024/02/01 05:00:00+00,Total,29,Red Line,2610722,90025,1118
2024/02/01 05:00:00+00,Total,29,Heavy Rail,6236625,215056,1119
2024/02/01 05:00:00+00,Total,29,Green Line,1883810,64959,1120
2024/02/01 05:00:00+00,Total,29,Mattapan Line,67889,2341,1121
2024/02/01 05:00:00+00,Total,29,Light Rail,1951699,67300,1122
2024/02/01 05:00:00+00,Total,29,Silver Line,725807,25028,1123
2024/02/01 05:00:00+00,Total,29,Bus,6504772,224302,1124
2024/02/01 05:00:00+00,Total,29,All Bus,7230579,249330,1125
2024/02/01 05:00:00+00,Total,29,Commuter Rail,2291395,79014,1126
2024/02/01 05:00:00+00,Total,29,Ferry,66611,2297,1127
2024/02/01 05:00:00+00,Total,29,The RIDE,88625,3056,1128
2024/01/01 05:00:00+00,Weekday,21,Blue Line,892386,42495,1129
2024/01/01 05:00:00+00,Weekday,21,Orange Line,2265993,107904,1130
2024/01/01 05:00:00+00,Weekday,21,Red Line,2307481,109880,1131
2024/01/01 05:00:00+00,Weekday,21,Heavy Rail,5397771,257037,1132
2024/01/01 05:00:00+00,Weekday,21,Green Line,847664,40365,1133
2024/01/01 05:00:00+00,Weekday,21,Mattapan Line,60227,2868,1134
2024/01/01 05:00:00+00,Weekday,21,Light Rail,823400,39210,1135
2024/01/01 05:00:00+00,Weekday,21,Silver Line,557230,26535,1136
2024/01/01 05:00:00+00,Weekday,21,Bus,5304374,252589,1137
2024/01/01 05:00:00+00,Weekday,21,All Bus,5861604,279124,1138
2024/01/01 05:00:00+00,Weekday,21,Commuter Rail,2050154,97626,1139
2024/01/01 05:00:00+00,Weekday,21,Ferry,69553,3312,1140
2024/01/01 05:00:00+00,Weekday,21,The RIDE,78430,3735,1141
2024/01/01 05:00:00+00,Saturday,4,Blue Line,114508,28627,1142
2024/01/01 05:00:00+00,Saturday,4,Orange Line,269240,67310,1143
2024/01/01 05:00:00+00,Saturday,4,Red Line,249419,62355,1144
2024/01/01 05:00:00+00,Saturday,4,Heavy Rail,630092,157523,1145
2024/01/01 05:00:00+00,Saturday,4,Green Line,88010,22002,1146
2024/01/01 05:00:00+00,Saturday,4,Mattapan Line,5573,1393,1147
2024/01/01 05:00:00+00,Saturday,4,Light Rail,85032,21258,1148
2024/01/01 05:00:00+00,Saturday,4,Silver Line,88037,22009,1149
2024/01/01 05:00:00+00,Saturday,4,Bus,691494,172874,1150
2023/09/01 04:00:00+00,Saturday,5,All Bus,850635,170127,1151
2023/09/01 04:00:00+00,Saturday,5,Commuter Rail,150083,30017,1152
2023/09/01 04:00:00+00,Saturday,5,The RIDE,8765,1753,1153
2023/09/01 04:00:00+00,Sunday,4,Blue Line,123366,30842,1154
2023/09/01 04:00:00+00,Sunday,4,Orange Line,217539,54385,1155
2023/09/01 04:00:00+00,Sunday,4,Red Line,260435,65109,1156
2023/09/01 04:00:00+00,Sunday,4,Heavy Rail,601340,150335,1157
2023/09/01 04:00:00+00,Sunday,4,Green Line,258863,64716,1158
2023/09/01 04:00:00+00,Sunday,4,Mattapan Line,4431,1108,1159
2023/09/01 04:00:00+00,Sunday,4,Light Rail,263294,65824,1160
2023/09/01 04:00:00+00,Sunday,4,Silver Line,96720,24180,1161
2023/09/01 04:00:00+00,Sunday,4,Bus,545556,136389,1162
2023/09/01 04:00:00+00,Sunday,4,All Bus,642276,160569,1163
2023/09/01 04:00:00+00,Sunday,4,Commuter Rail,111434,27858,1164
2023/09/01 04:00:00+00,Sunday,4,The RIDE,6408,1602,1165
2023/09/01 04:00:00+00,Total,30,Blue Line,1352023,45067,1166
2023/09/01 04:00:00+00,Total,30,Orange Line,2773532,92451,1167
2023/09/01 04:00:00+00,Total,30,Red Line,3293113,109770,1168
2023/09/01 04:00:00+00,Total,30,Heavy Rail,7418667,247289,1169
2023/09/01 04:00:00+00,Total,30,Green Line,2596340,86545,1170
2023/09/01 04:00:00+00,Total,30,Mattapan Line,74689,2490,1171
2023/09/01 04:00:00+00,Total,30,Light Rail,2671029,89034,1172
2023/09/01 04:00:00+00,Total,30,Silver Line,835741,27858,1173
2023/09/01 04:00:00+00,Total,30,Bus,6904339,230145,1174
2023/09/01 04:00:00+00,Total,30,All Bus,7740080,258003,1175
2023/09/01 04:00:00+00,Total,30,Commuter Rail,2117835,70594,1176
2023/09/01 04:00:00+00,Total,30,Ferry,120663,4022,1177
2023/09/01 04:00:00+00,Total,30,The RIDE,91812,3060,1178
2023/08/01 04:00:00+00,Weekday,23,Blue Line,1192710,51857,1179
2023/08/01 04:00:00+00,Weekday,23,Orange Line,2304171,100181,1180
2023/08/01 04:00:00+00,Weekday,23,Red Line,2728212,118618,1181
2023/08/01 04:00:00+00,Weekday,23,Heavy Rail,6225093,270656,1182
2023/08/01 04:00:00+00,Weekday,23,Green Line,2064223,89749,1183
2023/08/01 04:00:00+00,Weekday,23,Mattapan Line,63719,2770,1184
2023/08/01 04:00:00+00,Weekday,23,Light Rail,2127942,92519,1185
2023/08/01 04:00:00+00,Weekday,23,Silver Line,710210,30879,1186
2023/08/01 04:00:00+00,Weekday,23,Bus,5611401,243974,1187
2023/08/01 04:00:00+00,Weekday,23,All Bus,6321611,274853,1188
2023/08/01 04:00:00+00,Weekday,23,Commuter Rail,2133281,92751,1189
2023/08/01 04:00:00+00,Weekday,23,Ferry,152556,6633,1190
2023/08/01 04:00:00+00,Weekday,23,The RIDE,82731,3597,1191
2023/08/01 04:00:00+00,Saturday,4,Blue Line,178291,44573,1192
2023/08/01 04:00:00+00,Saturday,4,Orange Line,293363,73341,1193
2023/08/01 04:00:00+00,Saturday,4,Red Line,310142,77536,1194
2023/08/01 04:00:00+00,Saturday,4,Heavy Rail,781796,195449,1195
2023/08/01 04:00:00+00,Saturday,4,Green Line,324625,81156,1196
2023/08/01 04:00:00+00,Saturday,4,Mattapan Line,6722,1680,1197
2023/08/01 04:00:00+00,Saturday,4,Light Rail,331347,82837,1198
2023/08/01 04:00:00+00,Saturday,4,Silver Line,89957,22489,1199
2023/08/01 04:00:00+00,Saturday,4,Bus,614399,153600,1200
2023/06/01 04:00:00+00,Saturday,4,Red Line,324007,81002,1201
2023/06/01 04:00:00+00,Saturday,4,Heavy Rail,735435,183859,1202
2023/06/01 04:00:00+00,Saturday,4,Green Line,342216,85554,1203
2023/06/01 04:00:00+00,Saturday,4,Mattapan Line,6154,1538,1204
2023/06/01 04:00:00+00,Saturday,4,Light Rail,348370,87092,1205
2023/06/01 04:00:00+00,Saturday,4,Silver Line,80784,20196,1206
2023/06/01 04:00:00+00,Saturday,4,Bus,562216,140554,1207
2023/06/01 04:00:00+00,Saturday,4,Private Bus,5491,1373,1208
2023/06/01 04:00:00+00,Saturday,4,All Bus,648491,162123,1209
2023/06/01 04:00:00+00,Saturday,4,Commuter Rail,136765,34191,1210
2023/06/01 04:00:00+00,Saturday,4,Ferry,8230,2058,1211
2023/06/01 04:00:00+00,Saturday,4,The RIDE,7152,1788,1212
2023/06/01 04:00:00+00,Sunday,4,Blue Line,128733,32183,1213
2023/06/01 04:00:00+00,Sunday,4,Orange Line,202491,50623,1214
2023/06/01 04:00:00+00,Sunday,4,Red Line,262031,65508,1215
2023/06/01 04:00:00+00,Sunday,4,Heavy Rail,593255,148314,1216
2023/06/01 04:00:00+00,Sunday,4,Green Line,275063,68766,1217
2023/06/01 04:00:00+00,Sunday,4,Mattapan Line,4360,1090,1218
2023/06/01 04:00:00+00,Sunday,4,Light Rail,279423,69856,1219
2023/06/01 04:00:00+00,Sunday,4,Silver Line,70816,17704,1220
2023/06/01 04:00:00+00,Sunday,4,Bus,414495,103624,1221
2023/06/01 04:00:00+00,Sunday,4,Private Bus,4028,1007,1222
2023/06/01 04:00:00+00,Sunday,4,All Bus,489339,122335,1223
2023/06/01 04:00:00+00,Sunday,4,Commuter Rail,106899,26725,1224
2023/06/01 04:00:00+00,Sunday,4,Ferry,9901,2475,1225
2023/06/01 04:00:00+00,Sunday,4,The RIDE,6468,1617,1226
2023/06/01 04:00:00+00,Total,30,Blue Line,1361338,45378,1227
2023/06/01 04:00:00+00,Total,30,Orange Line,2632186,87740,1228
2023/06/01 04:00:00+00,Total,30,Red Line,3357977,111933,1229
2023/06/01 04:00:00+00,Total,30,Heavy Rail,7351501,245050,1230
2023/06/01 04:00:00+00,Total,30,Green Line,3076007,102534,1231
2023/06/01 04:00:00+00,Total,30,Mattapan Line,76742,2558,1232
2023/06/01 04:00:00+00,Total,30,Light Rail,3152748,105092,1233
2023/06/01 04:00:00+00,Total,30,Silver Line,816953,27232,1234
2023/06/01 04:00:00+00,Total,30,Bus,6506803,216893,1235
2023/06/01 04:00:00+00,Total,30,Private Bus,63021,2101,1236
2023/06/01 04:00:00+00,Total,30,All Bus,7386776,246226,1237
2023/06/01 04:00:00+00,Total,30,Commuter Rail,2288229,76274,1238
2023/06/01 04:00:00+00,Total,30,Ferry,129884,4329,1239
2023/06/01 04:00:00+00,Total,30,The RIDE,91741,3058,1240
2023/05/01 04:00:00+00,Weekday,22,Blue Line,1062255,48284,1241
2023/05/01 04:00:00+00,Weekday,22,Orange Line,2235069,101594,1242
2023/05/01 04:00:00+00,Weekday,22,Red Line,2835398,128882,1243
2023/05/01 04:00:00+00,Weekday,22,Heavy Rail,6132722,278760,1244
2023/05/01 04:00:00+00,Weekday,22,Green Line,2632445,119657,1245
2023/05/01 04:00:00+00,Weekday,22,Mattapan Line,71062,3230,1246
2023/05/01 04:00:00+00,Weekday,22,All Bus,6575587,298890,1247
2023/05/01 04:00:00+00,Weekday,22,Light Rail,2703507,122887,1248
2023/05/01 04:00:00+00,Weekday,22,Silver Line,653041,29684,1249
2023/05/01 04:00:00+00,Weekday,22,Bus,5867238,266693,1250
2023/05/01 04:00:00+00,Weekday,22,Private Bus,55307,2514,1251
2023/02/01 05:00:00+00,Total,28,Bus,5592079,199717,1252
2023/07/01 04:00:00+00,Saturday,5,Bus,757055,151411,1253
2023/05/01 04:00:00+00,Weekday,22,Commuter Rail,2056788,93490,1254
2023/07/01 04:00:00+00,Saturday,5,Private Bus,7325,1465,1255
2023/02/01 05:00:00+00,Total,28,Private Bus,47236,1687,1256
2023/05/01 04:00:00+00,Weekday,22,Ferry,94646,4302,1257
2023/07/01 04:00:00+00,Saturday,5,All Bus,867776,173555,1258
2023/02/01 05:00:00+00,Total,28,All Bus,6235862,222709,1259
2023/05/01 04:00:00+00,Weekday,22,The RIDE,81719,3714,1260
2023/07/01 04:00:00+00,Saturday,5,Commuter Rail,167928,33586,1261
2023/02/01 05:00:00+00,Total,28,Commuter Rail,1704568,60877,1262
2023/05/01 04:00:00+00,Saturday,4,Blue Line,151180,37795,1263
2023/07/01 04:00:00+00,Saturday,5,Ferry,23843,4769,1264
2023/02/01 05:00:00+00,Total,28,Ferry,50578,1806,1265
2023/05/01 04:00:00+00,Saturday,4,Orange Line,248105,62026,1266
2023/07/01 04:00:00+00,Saturday,5,The RIDE,9080,1816,1267
2023/02/01 05:00:00+00,Total,28,The RIDE,78197,2793,1268
2023/05/01 04:00:00+00,Saturday,4,Red Line,264295,66074,1269
2023/07/01 04:00:00+00,Sunday,5,Blue Line,167826,33565,1270
2023/01/01 05:00:00+00,Weekday,20,Blue Line,818684,40934,1271
2023/05/01 04:00:00+00,Saturday,4,Heavy Rail,663580,165895,1272
2023/07/01 04:00:00+00,Sunday,5,Orange Line,270352,54070,1273
2023/01/01 05:00:00+00,Weekday,20,Orange Line,1967801,98390,1274
2023/05/01 04:00:00+00,Saturday,4,Green Line,355856,88964,1275
2023/07/01 04:00:00+00,Sunday,5,Red Line,313865,62773,1276
2023/01/01 05:00:00+00,Weekday,20,Red Line,2455555,122778,1277
2023/05/01 04:00:00+00,Saturday,4,Mattapan Line,3047,762,1278
2023/07/01 04:00:00+00,Sunday,5,Heavy Rail,752043,150409,1279
2023/01/01 05:00:00+00,Weekday,20,Heavy Rail,5242040,262102,1280
2023/05/01 04:00:00+00,Saturday,4,Light Rail,358903,89726,1281
2023/07/01 04:00:00+00,Sunday,5,Green Line,279168,55834,1282
2023/01/01 05:00:00+00,Weekday,20,Green Line,1996585,99829,1283
2023/05/01 04:00:00+00,Saturday,4,Silver Line,77879,19470,1284
2023/07/01 04:00:00+00,Sunday,5,Mattapan Line,5463,1093,1285
2023/01/01 05:00:00+00,Weekday,20,Mattapan Line,66583,3329,1286
2023/05/01 04:00:00+00,Saturday,4,Bus,613004,153251,1287
2023/07/01 04:00:00+00,Sunday,5,Light Rail,284630,56926,1288
2023/01/01 05:00:00+00,Weekday,20,Light Rail,2063168,103158,1289
2023/05/01 04:00:00+00,Saturday,4,Private Bus,5524,1381,1290
2023/07/01 04:00:00+00,Sunday,5,Silver Line,106325,21265,1291
2023/01/01 05:00:00+00,Weekday,20,Silver Line,505262,25263,1292
2023/05/01 04:00:00+00,Saturday,4,All Bus,696406,174102,1293
2023/07/01 04:00:00+00,Sunday,5,Bus,597425,119485,1294
2023/01/01 05:00:00+00,Weekday,20,Bus,4843446,242172,1295
2023/05/01 04:00:00+00,Saturday,4,Commuter Rail,125898,31474,1296
2023/07/01 04:00:00+00,Sunday,5,Private Bus,5403,1081,1297
2023/01/01 05:00:00+00,Weekday,20,All Bus,5348709,267435,1298
2023/05/01 04:00:00+00,Saturday,4,The RIDE,7360,1840,1299
2023/07/01 04:00:00+00,Sunday,5,All Bus,709154,141831,1300
2023/01/01 05:00:00+00,Weekday,20,Commuter Rail,1596671,79834,1301
2023/05/01 04:00:00+00,Sunday,4,Blue Line,131975,32994,1302
2023/07/01 04:00:00+00,Sunday,5,Commuter Rail,126503,25301,1303
2023/01/01 05:00:00+00,Weekday,20,Ferry,44087,2204,1304
2023/05/01 04:00:00+00,Sunday,4,Orange Line,210295,52574,1305
2023/07/01 04:00:00+00,Sunday,5,Ferry,16675,3335,1306
2023/01/01 05:00:00+00,Weekday,20,The RIDE,70378,3519,1307
2023/05/01 04:00:00+00,Sunday,4,Red Line,231255,57814,1308
2023/07/01 04:00:00+00,Sunday,5,The RIDE,7590,1518,1309
2023/01/01 05:00:00+00,Saturday,4,Blue Line,124228,31057,1310
2023/05/01 04:00:00+00,Sunday,4,Heavy Rail,573525,143381,1311
2023/07/01 04:00:00+00,Total,31,Blue Line,1418568,45760,1312
2023/01/01 05:00:00+00,Saturday,4,Orange Line,217786,54446,1313
2023/05/01 04:00:00+00,Sunday,4,Green Line,301235,75309,1314
2023/07/01 04:00:00+00,Total,31,Orange Line,2656511,85694,1315
2023/01/01 05:00:00+00,Saturday,4,Red Line,288066,72016,1316
2023/05/01 04:00:00+00,Sunday,4,Mattapan Line,2102,526,1317
2023/07/01 04:00:00+00,Total,31,Red Line,3241811,104575,1318
2023/01/01 05:00:00+00,Saturday,4,Heavy Rail,630080,157520,1319
2023/05/01 04:00:00+00,Sunday,4,Light Rail,303337,75834,1320
2023/07/01 04:00:00+00,Total,31,Heavy Rail,7316891,236029,1321
2023/01/01 05:00:00+00,Saturday,4,Green Line,332225,83056,1322
2023/05/01 04:00:00+00,Sunday,4,Silver Line,88393,22098,1323
2023/07/01 04:00:00+00,Total,31,Green Line,2578698,83184,1324
